key	len	boards	present	found	foundByOpp	cellmateMissedPts	missedPts	completion
EEGNRT	6	16	32	7	0	9800	35000	0.2188
ENOPRS	6	17	34	7	7	9800	37800	0.2059
DENOOS	6	24	53	5	6	9800	67200	0.09434
DELOTT	6	17	37	6	13	9800	43400	0.1622
EIOPSS	6	12	26	7	5	9800	26600	0.2692
EPRSSU	6	10	21	6	6	9800	21000	0.2857
ACEHSS	6	17	36	15	16	9800	29400	0.4167
EGORSU	6	17	43	5	4	9800	53200	0.1163
ADINST	6	33	66	7	8	9800	82600	0.1061
ABEMRS	6	12	28	12	1	9800	22400	0.4286
AELMPR	6	10	22	11	7	9800	15400	0.5
DEOSTU	6	19	38	19	18	9800	26600	0.5
ENORTT	6	29	58	7	16	9800	71400	0.1207
DEOSTW	6	10	23	10	7	9800	18200	0.4348
CEHORT	6	38	95	4	14	9800	127400	0.04211
AEELSV	6	9	19	8	2	9800	15400	0.4211
DLOORS	6	11	23	7	4	9800	22400	0.3043
ELOOSS	6	15	30	13	10	9800	23800	0.4333
EFOORT	6	11	24	5	9	9800	26600	0.2083
AEGMNS	6	9	19	6	5	9800	18200	0.3158
AESSTW	6	9	19	8	8	9800	15400	0.4211
BELSTU	6	16	37	4	4	9800	46200	0.1081
ADEILM	6	11	24	6	6	9800	25200	0.25
AAIRST	6	111	237	7	8	9800	322000	0.02954
CEGINR	6	14	28	7	4	9800	29400	0.25
ADEISS	6	13	29	5	1	9800	33600	0.1724
EIINNT	6	19	38	7	11	9800	43400	0.1842
ACELPR	6	5	14	4	6	9800	14000	0.2857
ADELOR	6	25	50	11	13	9800	54600	0.22
EILMOS	6	18	40	7	5	9800	46200	0.175
AEHIRS	6	53	118	17	17	9800	141400	0.1441
EMOORT	6	9	18	9	8	9800	12600	0.5
ABCS	4	67	155	40	23	9600	46000	0.2581
EMRU	4	59	118	50	37	9600	27200	0.4237
AFT	3	226	452	216	157	9600	23600	0.4779
DESTU	5	30	60	12	9	9600	38400	0.2
AEGGR	5	16	41	10	5	9600	24800	0.2439
OSSTU	5	27	54	34	25	9600	16000	0.6296
AFINT	5	14	28	12	8	9600	12800	0.4286
IKRS	4	62	168	11	9	9600	62800	0.06548
AELMP	5	24	50	10	4	9600	32000	0.2
AEITW	5	15	30	12	7	9600	14400	0.4
EHY	3	186	499	90	31	9600	40900	0.1804
CEINS	5	27	54	14	18	9600	32000	0.2593
EELPR	5	49	98	14	8	9600	67200	0.1429
ADIM	4	90	180	26	35	9600	61600	0.1444
DEESW	5	21	52	15	16	9600	29600	0.2885
AGNSW	5	25	59	11	13	9600	38400	0.1864
MRSU	4	76	152	24	17	9600	51200	0.1579
DELOR	5	24	48	12	7	9600	28800	0.25
AEKMS	5	10	30	6	8	9600	19200	0.2
AALT	4	93	186	26	13	9600	64000	0.1398
EELSV	5	20	46	9	9	9600	29600	0.1957
DEIRW	5	29	66	18	23	9600	38400	0.2727
CEILN	5	36	79	7	6	9600	57600	0.08861
DEOV	4	32	64	28	16	9600	14400	0.4375
AGNOR	5	69	159	9	16	9600	120000	0.0566
AELNO	5	60	120	14	25	9600	84800	0.1167
ANORT	5	338	849	5	59	9600	675200	0.005889
OOTT	4	35	70	26	24	9600	17600	0.3714
EHMT	4	114	228	58	30	9600	68000	0.2544
EGO	3	295	840	54	70	9500	78600	0.06429
GSU	3	162	419	85	67	9400	33400	0.2029
DMO	3	277	554	243	203	9300	31100	0.4386
EOS	3	1208	2416	101	72	9300	231500	0.0418
KNOT	4	54	108	23	25	9200	34000	0.213
AEKR	4	67	134	71	60	9200	25200	0.5299
EOPP	4	33	73	18	15	9200	22000	0.2466
EEKT	4	67	168	22	27	9200	58400	0.131
EHSS	4	182	364	23	25	9200	136400	0.06319
ANRW	4	48	96	25	34	9200	28400	0.2604
ARTY	4	61	122	25	15	9200	38800	0.2049
BDEI	4	33	66	23	20	9200	17200	0.3485
GHIS	4	69	138	23	20	9200	46000	0.1667
AAMN	4	47	94	25	18	9200	27600	0.266
AGINPRS	7	11	26	13	18	9000	23400	0.5
AEIPSST	7	10	22	3	6	9000	34200	0.1364
EEGILNR	7	13	26	17	4	9000	16200	0.6538
EINOPRT	7	10	22	6	6	9000	28800	0.2727
AGINSTT	7	12	24	13	13	9000	19800	0.5417
AEGHNRS	7	12	27	4	4	9000	41400	0.1481
ACGINRT	7	6	13	6	1	9000	12600	0.4615
AEGINSS	7	7	14	5	2	9000	16200	0.3571
EEIRRST	7	55	127	3	27	9000	223200	0.02362
ACELPRS	7	6	14	5	6	9000	16200	0.3571
ABDEIRS	7	8	18	4	0	9000	25200	0.2222
AEINNST	7	17	36	3	4	9000	59400	0.08333
AEILNRT	7	55	117	4	11	9000	203400	0.03419
AGIINRS	7	23	51	9	0	9000	75600	0.1765
EHIRSTT	7	11	25	18	20	9000	12600	0.72
ADEORST	7	16	32	13	6	9000	34200	0.4062
AEMRSTT	7	12	24	15	12	9000	16200	0.625
ACEPRSS	7	6	13	4	3	9000	16200	0.3077
AENRSTT	7	7	14	5	7	9000	16200	0.3571
EHORRST	7	11	22	7	1	9000	27000	0.3182
EEINRTT	7	13	26	5	7	9000	37800	0.1923
EGINSST	7	14	28	9	7	9000	34200	0.3214
AELNPRT	7	8	16	5	3	9000	19800	0.3125
AEHLRSS	7	10	22	5	3	9000	30600	0.2273
AENRRSS	7	14	28	5	7	9000	41400	0.1786
EEFINRS	7	6	13	6	5	9000	12600	0.4615
AEILRRT	7	13	29	5	4	9000	43200	0.1724
AEGILLS	7	11	22	5	5	9000	30600	0.2273
EENRSTU	7	13	28	4	3	9000	43200	0.1429
ABERSST	7	10	21	4	3	9000	30600	0.1905
EOORRST	7	14	29	14	14	9000	27000	0.4828
ADEEMRR	7	6	13	4	2	9000	16200	0.3077
DEENNST	7	21	42	5	6	9000	66600	0.119
ADEEPRT	7	6	13	4	3	9000	16200	0.3077
EIKNRST	7	10	26	7	4	9000	34200	0.2692
ELOOPRS	7	12	26	11	8	9000	27000	0.4231
ENORSTT	7	7	15	6	7	9000	16200	0.4
EGILNRT	7	12	27	5	6	9000	39600	0.1852
DEOPRST	7	8	18	8	5	9000	18000	0.4444
ASV	3	206	412	165	137	8900	24700	0.4005
IMRST	5	62	124	13	26	8800	88800	0.1048
EINOPRST	8	4	11	3	3	8800	17600	0.2727
EMOPS	5	28	61	16	15	8800	36000	0.2623
CEIP	4	53	106	22	24	8800	33600	0.2075
ABGINORT	8	5	13	4	4	8800	19800	0.3077
AOPRT	5	64	128	11	10	8800	93600	0.08594
AKNST	5	24	50	31	26	8800	15200	0.62
DENOW	5	22	46	10	15	8800	28800	0.2174
HOOPS	5	15	37	7	7	8800	24000	0.1892
ACSST	5	25	50	23	23	8800	21600	0.46
AHNRS	5	61	122	11	22	8800	88800	0.09016
EMSTU	5	24	48	11	10	8800	29600	0.2292
AEGPS	5	24	53	29	24	8800	19200	0.5472
BELT	4	49	98	26	25	8800	28800	0.2653
GINORSTU	8	6	14	4	4	8800	22000	0.2857
ADENP	5	42	84	21	16	8800	50400	0.25
AEORRSST	8	9	19	3	2	8800	35200	0.1579
GHOS	4	53	126	26	31	8800	40000	0.2063
EFIRR	5	27	57	15	12	8800	33600	0.2632
ADIMS	5	34	68	11	23	8800	45600	0.1618
HOPSS	5	19	46	7	8	8800	31200	0.1522
EGRSU	5	31	73	9	10	8800	51200	0.1233
CINTU	5	33	84	7	6	8800	61600	0.08333
ADINT	5	51	102	11	11	8800	72800	0.1078
AIMMS	5	20	49	6	4	8800	34400	0.1224
ABNR	4	50	100	50	40	8800	20000	0.5
ACSTT	5	14	28	11	7	8800	13600	0.3929
EGOST	5	34	68	11	4	8800	45600	0.1618
DDEI	4	240	480	24	49	8800	182400	0.05
CEHST	5	27	54	13	17	8800	32800	0.2407
ATU	3	392	784	92	61	8800	69200	0.1173
ABD	3	242	484	180	146	8800	30400	0.3719
COPS	4	49	98	54	33	8800	17600	0.551
ACKLS	5	18	44	29	20	8800	12000	0.6591
ABEGR	5	16	37	6	8	8800	24800	0.1622
AINRV	5	17	34	11	6	8800	18400	0.3235
DEMNO	5	24	48	15	9	8800	26400	0.3125
AEGLNRST	8	6	13	7	1	8800	13200	0.5385
AERRV	5	15	30	11	10	8800	15200	0.3667
EHRSU	5	29	60	10	7	8800	40000	0.1667
ADEOR	5	172	360	10	45	8800	280000	0.02778
ADDEL	5	62	156	9	26	8800	117600	0.05769
AFIR	4	53	106	26	24	8800	32000	0.2453
EEGNR	5	68	142	7	15	8800	108000	0.0493
CEHIISTT	8	3	9	2	0	8800	15400	0.2222
KLOOS	5	11	26	9	9	8800	13600	0.3462
AGINRRST	8	5	10	6	2	8800	8800	0.6
EHM	3	407	814	130	102	8600	68400	0.1597
AKT	3	201	402	158	116	8600	24400	0.393
ADG	3	267	534	197	125	8500	33700	0.3689
ACELSV	6	6	15	5	8	8400	14000	0.3333
ADDEEN	6	15	30	6	9	8400	33600	0.2
ABEHRT	6	13	27	7	5	8400	28000	0.2593
DLOU	4	48	116	13	18	8400	41200	0.1121
ACORST	6	34	75	5	14	8400	98000	0.06667
EKORST	6	20	44	28	18	8400	22400	0.6364
AAMNST	6	23	48	5	4	8400	60200	0.1042
EEINTT	6	28	56	6	7	8400	70000	0.1071
ENRSTU	6	13	26	6	8	8400	28000	0.2308
AHLOSS	6	15	34	4	2	8400	42000	0.1176
CEEIRT	6	11	22	6	5	8400	22400	0.2727
DORW	4	79	158	57	34	8400	40400	0.3608
ACELRT	6	32	68	5	8	8400	88200	0.07353
ABELMR	6	9	21	13	4	8400	11200	0.619
ADEELP	6	9	19	5	4	8400	19600	0.2632
AGNSST	6	10	20	6	6	8400	19600	0.3
ESWY	4	35	103	20	11	8400	33200	0.1942
ADNRST	6	11	22	6	4	8400	22400	0.2727
ALPSST	6	11	22	8	5	8400	19600	0.3636
GINOST	6	50	111	5	5	8400	148400	0.04505
EERSTV	6	44	126	3	7	8400	172200	0.02381
AELNOR	6	33	66	14	15	8400	72800	0.2121
AENPTT	6	11	22	6	5	8400	22400	0.2727
GILNOT	6	10	20	6	7	8400	19600	0.3
EGILNT	6	8	16	8	7	8400	11200	0.5
EEIRSV	6	24	56	6	8	8400	70000	0.1071
DEHIRS	6	15	30	10	8	8400	28000	0.3333
EFLORW	6	5	13	5	1	8400	11200	0.3846
EILMSS	6	13	26	14	12	8400	16800	0.5385
ABDEER	6	16	32	20	14	8400	16800	0.625
ANORST	6	123	291	3	29	8400	403200	0.01031
EEGNRS	6	20	42	4	5	8400	53200	0.09524
ACEELR	6	23	50	5	3	8400	63000	0.1
ACEINN	6	21	44	11	9	8400	46200	0.25
EELLRT	6	8	16	8	8	8400	11200	0.5
CDEKNO	6	5	12	4	5	8400	11200	0.3333
DERSTU	6	15	34	5	14	8400	40600	0.1471
AIKL	4	46	129	13	12	8400	46400	0.1008
AEFINR	6	11	22	6	2	8400	22400	0.2727
ADEELS	6	18	36	26	30	8400	14000	0.7222
BDEINR	6	10	21	7	8	8400	19600	0.3333
ENORRS	6	18	36	6	6	8400	42000	0.1667
EHMORS	6	12	24	6	8	8400	25200	0.25
EFINRS	6	10	20	6	7	8400	19600	0.3
AEEIRS	6	25	50	6	4	8400	61600	0.12
EEGSST	6	11	26	4	0	8400	30800	0.1538
LOPT	4	42	84	33	17	8400	20400	0.3929
DGINOS	6	14	29	8	10	8400	29400	0.2759
DEILTT	6	15	30	8	15	8400	30800	0.2667
AIPRST	6	20	42	6	6	8400	50400	0.1429
AGIMNR	6	27	61	5	6	8400	78400	0.08197
ADENPT	6	12	27	4	8	8400	32200	0.1481
CDEINR	6	11	23	7	6	8400	22400	0.3043
MTU	3	212	424	192	151	8400	23200	0.4528
GINNOT	6	19	40	13	12	8400	37800	0.325
AHPT	4	57	114	21	25	8400	37200	0.1842
EINSSW	6	6	14	4	3	8400	14000	0.2857
ACLS	4	129	258	31	45	8400	90800	0.1202
ADELNO	6	27	60	6	14	8400	75600	0.1
ADINRS	6	39	82	4	9	8400	109200	0.04878
ENPRST	6	29	58	6	7	8400	72800	0.1034
AEKNRS	6	13	29	7	3	8400	30800	0.2414
AINPSS	6	6	12	6	2	8400	8400	0.5
BEET	4	53	106	41	38	8400	26000	0.3868
AEILMN	6	17	34	8	6	8400	36400	0.2353
EMOSTT	6	10	21	5	8	8400	22400	0.2381
EPRSTU	6	19	43	4	5	8400	54600	0.09302
DEHOST	6	7	14	6	6	8400	11200	0.4286
EHINRT	6	13	26	6	8	8400	28000	0.2308
AACERT	6	20	40	6	9	8400	47600	0.15
BIS	3	305	610	131	151	8300	47900	0.2148
PTU	3	177	354	109	107	8300	24500	0.3079
APY	3	130	334	105	52	8200	22900	0.3144
EEM	3	139	278	109	88	8100	16900	0.3921
EGL	3	426	852	151	120	8100	70100	0.1772
EIPRR	5	28	56	16	22	8000	32000	0.2857
ELMSU	5	21	42	10	12	8000	25600	0.2381
DEMOR	5	18	36	10	8	8000	20800	0.2778
DEORV	5	19	42	22	14	8000	16000	0.5238
ADEFR	5	24	48	20	19	8000	22400	0.4167
AGHNS	5	21	42	10	12	8000	25600	0.2381
EETW	4	43	86	40	21	8000	18400	0.4651
ENSTW	5	20	40	18	11	8000	17600	0.45
ABEHT	5	17	34	20	11	8000	11200	0.5882
EEHL	4	72	144	52	41	8000	36800	0.3611
HORTW	5	27	66	9	7	8000	45600	0.1364
BDEER	5	18	36	12	9	8000	19200	0.3333
AHIRS	5	36	72	10	14	8000	49600	0.1389
GHSU	4	25	68	19	13	8000	19600	0.2794
DEELR	5	37	74	10	6	8000	51200	0.1351
ELOSW	5	25	62	12	19	8000	40000	0.1935
EHOPR	5	11	22	10	8	8000	9600	0.4545
NRSTU	5	20	40	20	15	8000	16000	0.5
AELNV	5	21	49	9	6	8000	32000	0.1837
ACNOT	5	86	212	7	14	8000	164000	0.03302
HISTW	5	33	71	15	13	8000	44800	0.2113
AIKST	5	48	125	4	9	8000	96800	0.032
AESTV	5	19	38	10	9	8000	22400	0.2632
CEPS	4	133	335	21	24	8000	125600	0.06269
AORR	4	98	196	20	21	8000	70400	0.102
EILNT	5	279	721	5	34	8000	572800	0.006935
EHLLS	5	20	40	28	17	8000	9600	0.7
CEEPR	5	24	53	14	8	8000	31200	0.2642
AIMNT	5	73	146	22	25	8000	99200	0.1507
INSSU	5	70	154	9	3	8000	116000	0.05844
EEFT	4	53	106	44	32	8000	24800	0.4151
EILMR	5	20	40	12	11	8000	22400	0.3
EOW	3	166	332	92	56	8000	24000	0.2771
DDEIN	5	43	86	12	24	8000	59200	0.1395
DEINP	5	32	64	10	17	8000	43200	0.1562
LOPST	5	19	38	16	9	8000	17600	0.4211
OOSTT	5	14	28	10	8	8000	14400	0.3571
EGLSU	5	28	61	14	8	8000	37600	0.2295
ENSSY	5	21	52	6	4	8000	36800	0.1154
ATV	3	228	456	167	155	7900	28900	0.3662
BDI	3	168	336	135	98	7700	20100	0.4018
BIO	3	137	381	48	49	7700	33300	0.126
AIKR	4	61	145	13	19	7600	52800	0.08966
CEEH	4	32	64	19	10	7600	18000	0.2969
AMPR	4	35	70	21	13	7600	19600	0.3
LOSS	4	60	120	35	30	7600	34000	0.2917
DLOT	4	56	112	27	26	7600	34000	0.2411
BHOS	4	45	112	30	25	7600	32800	0.2679
AANR	4	173	346	19	18	7600	130800	0.05491
FLOR	4	82	164	19	11	7600	58000	0.1159
BELS	4	134	268	19	31	7600	99600	0.0709
ESSY	4	107	214	37	26	7600	70800	0.1729
ELPS	4	114	228	27	27	7600	80400	0.1184
EOTV	4	40	80	45	27	7600	14000	0.5625
ATTU	4	79	158	21	8	7600	54800	0.1329
ABC	3	181	362	118	108	7600	24400	0.326
DEIW	4	33	66	19	21	7600	18800	0.2879
DGI	3	291	582	169	116	7500	41300	0.2904
FOO	3	111	222	82	66	7400	14000	0.3694
ACEINNR	7	7	15	3	4	7200	21600	0.2
AEELPSS	7	7	15	4	1	7200	19800	0.2667
ERY	3	279	558	100	49	7200	45800	0.1792
EEGNRST	7	11	22	4	0	7200	32400	0.1818
CEORSSU	7	7	15	3	6	7200	21600	0.2
FORS	4	61	122	20	14	7200	40800	0.1639
ABEORST	7	12	25	13	7	7200	21600	0.52
DEERSST	7	31	67	3	6	7200	115200	0.04478
AEHSV	5	18	41	17	24	7200	19200	0.4146
DEHLO	5	22	44	9	9	7200	28000	0.2045
DEEGINR	7	5	10	4	2	7200	10800	0.4
DEISW	5	27	56	13	17	7200	34400	0.2321
AEGLNRT	7	6	12	8	3	7200	7200	0.6667
CENORST	7	25	61	2	6	7200	106200	0.03279
AEGRRST	7	4	9	5	5	7200	7200	0.5556
ACHIN	5	20	40	11	24	7200	23200	0.275
ABERSTT	7	4	8	4	3	7200	7200	0.5
EHINRSS	7	5	10	4	4	7200	10800	0.4
ADEIL	5	107	236	9	32	7200	181600	0.03814
BEGIN	5	16	33	8	7	7200	20000	0.2424
AEGIMNN	7	4	8	4	3	7200	7200	0.5
EFRST	5	65	130	9	7	7200	96800	0.06923
AESTY	5	23	46	13	5	7200	26400	0.2826
EGINNTT	7	10	20	10	10	7200	18000	0.5
ACEELRS	7	11	25	3	1	7200	39600	0.12
AEEL	4	160	320	18	3	7200	120800	0.05625
HLOOS	5	16	32	15	10	7200	13600	0.4688
EMRST	5	59	118	9	13	7200	87200	0.07627
ADEEGNR	7	9	18	6	3	7200	21600	0.3333
EHMOS	5	10	20	11	8	7200	7200	0.55
EHOPS	5	24	48	29	25	7200	15200	0.6042
AEIRRST	7	65	140	3	8	7200	246600	0.02143
ABGR	4	52	119	29	26	7200	36000	0.2437
EHMOR	5	20	40	11	16	7200	23200	0.275
AEIRRTT	7	24	50	12	6	7200	68400	0.24
AINSW	5	20	40	13	12	7200	21600	0.325
CEHIIRT	7	7	14	4	0	7200	18000	0.2857
EMSW	4	46	120	11	9	7200	43600	0.09167
AEIPRSS	7	13	29	8	3	7200	37800	0.2759
ABORS	5	17	34	13	11	7200	16800	0.3824
EEIMPRS	7	10	25	3	1	7200	39600	0.12
EENRSTT	7	15	32	17	14	7200	27000	0.5312
AFLOT	5	31	65	9	9	7200	44800	0.1385
EFLORSW	7	2	6	2	1	7200	7200	0.3333
AFIRS	5	26	52	13	14	7200	31200	0.25
EFLRSTU	7	7	16	3	4	7200	23400	0.1875
EPSSU	5	21	45	8	7	7200	29600	0.1778
HINSS	5	21	42	9	10	7200	26400	0.2143
HNORS	5	38	76	15	24	7200	48800	0.1974
BENRSTU	7	9	20	2	6	7200	32400	0.1
DERSY	5	35	75	7	5	7200	54400	0.09333
AGINPRT	7	5	12	8	7	7200	7200	0.6667
BELORST	7	11	24	2	5	7200	39600	0.08333
ORRST	5	38	76	9	11	7200	53600	0.1184
ADEINRS	7	11	22	4	5	7200	32400	0.1818
ACHRS	5	15	30	15	11	7200	12000	0.5
AEFRRST	7	7	14	4	4	7200	18000	0.2857
CDOS	4	48	96	22	19	7200	29600	0.2292
DELOW	5	22	57	19	23	7200	30400	0.3333
AGILR	5	12	24	9	6	7200	12000	0.375
ADEENRS	7	12	24	4	3	7200	36000	0.1667
AGOST	5	13	26	9	7	7200	13600	0.3462
ELPT	4	73	146	18	25	7200	51200	0.1233
ABILR	5	11	22	9	6	7200	10400	0.4091
EPPR	4	89	202	18	20	7200	73600	0.08911
AEGILNT	7	25	61	4	9	7200	102600	0.06557
AEILPRT	7	7	14	4	1	7200	18000	0.2857
ACIPS	5	29	75	5	7	7200	56000	0.06667
AEGILRS	7	4	8	4	2	7200	7200	0.5
CELSTTU	7	5	11	7	4	7200	7200	0.6364
AEILRRS	7	6	12	4	4	7200	14400	0.3333
BDOOR	5	17	43	5	4	7200	30400	0.1163
CEHIM	5	12	30	14	12	7200	12800	0.4667
DEEINRS	7	26	58	4	5	7200	97200	0.06897
ADW	3	199	398	158	151	7200	24000	0.397
AEMNORS	7	6	12	4	3	7200	14400	0.3333
DNOU	4	98	224	17	29	7200	82800	0.07589
AEINSST	7	59	131	2	7	7200	232200	0.01527
EINOPST	7	7	14	4	2	7200	18000	0.2857
DEEINST	7	25	52	4	6	7200	86400	0.07692
ACDET	5	29	58	11	9	7200	37600	0.1897
AGIMNST	7	8	16	8	11	7200	14400	0.5
AENORST	7	27	57	4	13	7200	95400	0.07018
AEELV	5	11	22	9	6	7200	10400	0.4091
HRSTU	5	40	84	13	10	7200	56800	0.1548
DEORW	5	15	30	15	17	7200	12000	0.5
ACDEP	5	17	34	15	17	7200	15200	0.4412
EIILLPS	7	8	16	4	3	7200	21600	0.25
MOSSU	5	18	40	7	6	7200	26400	0.175
DDENORS	7	5	13	4	2	7200	16200	0.3077
EIILMRS	7	4	9	3	0	7200	10800	0.3333
ADEGL	5	22	44	15	12	7200	23200	0.3409
AENRRST	7	10	20	4	3	7200	28800	0.2
ACELRST	7	22	45	4	8	7200	73800	0.08889
ACEPRRS	7	6	14	5	5	7200	16200	0.3571
EELSW	5	27	57	12	16	7200	36000	0.2105
DELOO	5	20	40	9	7	7200	24800	0.225
ABEMS	5	25	54	10	10	7200	35200	0.1852
EEFGINR	7	5	11	5	4	7200	10800	0.4545
ABEELRT	7	10	20	4	5	7200	28800	0.2
AHNSS	5	52	104	11	18	7200	74400	0.1058
EGILLNS	7	7	14	4	2	7200	18000	0.2857
CEMOT	5	23	46	11	6	7200	28000	0.2391
ABELSTT	7	9	20	3	2	7200	30600	0.15
ABEIRST	7	14	28	6	1	7200	39600	0.2143
ACHM	4	59	118	70	45	7200	19200	0.5932
EINRSTW	7	8	16	12	7	7200	7200	0.75
CEORRSS	7	5	11	3	1	7200	14400	0.2727
DEEIRRS	7	28	66	5	10	7200	109800	0.07576
AGO	3	220	440	83	79	7100	35700	0.1886
BSU	3	171	342	157	102	7100	18500	0.4591
AGM	3	225	450	227	166	7100	22300	0.5044
AEELPR	6	9	18	7	6	7000	15400	0.3889
ADDEMN	6	11	22	5	4	7000	23800	0.2273
AOSSTT	6	10	20	9	4	7000	15400	0.45
ADDEPR	6	8	18	5	6	7000	18200	0.2778
AEFNST	6	20	40	5	9	7000	49000	0.125
CDEHIR	6	19	42	4	7	7000	53200	0.09524
EEKSST	6	11	22	11	9	7000	15400	0.5
ACDEKR	6	6	15	4	8	7000	15400	0.2667
EEPRSU	6	13	29	3	2	7000	36400	0.1034
EERSSV	6	9	20	4	6	7000	22400	0.2
AEILRW	6	9	18	7	6	7000	15400	0.3889
ANSSTU	6	16	32	5	5	7000	37800	0.1562
AEGMRS	6	13	28	16	10	7000	16800	0.5714
CDEIKT	6	7	14	5	5	7000	12600	0.3571
EINOPT	6	8	16	5	4	7000	15400	0.3125
ABILRS	6	10	22	4	6	7000	25200	0.1818
ADDEIL	6	16	32	5	4	7000	37800	0.1562
CENOSS	6	5	10	5	3	7000	7000	0.5
AEERRT	6	61	135	4	32	7000	183400	0.02963
AOPRST	6	17	37	4	4	7000	46200	0.1081
EINOPR	6	27	59	5	0	7000	75600	0.08475
EEFRRS	6	9	20	3	1	7000	23800	0.15
NOSSTU	6	10	21	5	9	7000	22400	0.2381
AEHHST	6	20	40	7	6	7000	46200	0.175
EINRTW	6	11	22	15	9	7000	9800	0.6818
AEFSST	6	13	27	4	5	7000	32200	0.1481
AEMPRT	6	9	18	5	5	7000	18200	0.2778
HLOOSS	6	10	20	5	3	7000	21000	0.25
EHOSSU	6	5	10	5	5	7000	7000	0.5
ABENRT	6	6	12	5	3	7000	9800	0.4167
HOSSTU	6	9	18	9	6	7000	12600	0.5
AELNPT	6	21	42	15	16	7000	37800	0.3571
EIKRST	6	10	21	12	13	7000	12600	0.5714
ENOPST	6	24	48	5	4	7000	60200	0.1042
CEIRRS	6	17	37	10	16	7000	37800	0.2703
ADGINR	6	8	16	5	5	7000	15400	0.3125
EHOSST	6	12	24	11	12	7000	18200	0.4583
DELOSU	6	6	12	5	8	7000	9800	0.4167
BDEORS	6	13	31	3	4	7000	39200	0.09677
ABDELM	6	5	12	5	4	7000	9800	0.4167
ABDENR	6	10	20	9	15	7000	15400	0.45
DEPRSU	6	6	14	3	0	7000	15400	0.2143
EHIORS	6	30	60	11	10	7000	68600	0.1833
ACELNR	6	7	14	5	3	7000	12600	0.3571
DEGILR	6	18	43	3	6	7000	56000	0.06977
ACERSU	6	7	15	6	5	7000	12600	0.4
ACELPS	6	7	14	5	4	7000	12600	0.3571
ABEERR	6	5	10	5	1	7000	7000	0.5
CEINNO	6	8	16	5	4	7000	15400	0.3125
AEMNSS	6	10	21	5	1	7000	22400	0.2381
AGNRST	6	9	18	5	7	7000	18200	0.2778
DELORU	6	18	40	4	13	7000	50400	0.1
DEEGRS	6	11	24	7	4	7000	23800	0.2917
ACEKRT	6	10	23	12	12	7000	15400	0.5217
OORSST	6	9	20	4	4	7000	22400	0.2
ACEOST	6	9	18	5	5	7000	18200	0.2778
AGHINR	6	22	44	5	3	7000	54600	0.1136
ADEHSS	6	15	35	9	12	7000	36400	0.2571
DEINOS	6	45	92	5	7	7000	121800	0.05435
ADENRW	6	16	33	9	17	7000	33600	0.2727
BEORSS	6	7	16	5	7	7000	15400	0.3125
IKT	3	158	316	140	99	7000	17600	0.443
GIILNT	6	9	18	9	5	7000	12600	0.5
EMRSTU	6	17	36	5	7	7000	43400	0.1389
ADEHIL	6	9	18	5	5	7000	18200	0.2778
EHORRT	6	14	28	5	1	7000	32200	0.1786
AEKNSS	6	9	24	3	3	7000	29400	0.125
ABCDER	6	18	36	5	7	7000	43400	0.1389
DEELST	6	30	67	3	4	7000	89600	0.04478
GIINRS	6	14	28	13	6	7000	21000	0.4643
ANV	3	193	386	109	98	6900	27700	0.2824
ADMS	4	59	118	37	27	6800	32400	0.3136
NOSY	4	56	112	17	13	6800	38000	0.1518
EGLU	4	50	116	25	18	6800	36400	0.2155
ESSU	4	118	236	27	30	6800	83600	0.1144
ADMN	4	41	82	31	21	6800	20400	0.378
HLOS	4	60	120	19	23	6800	40400	0.1583
CDHI	4	52	104	29	32	6800	30000	0.2788
CHSU	4	31	62	19	14	6800	17200	0.3065
ENTW	4	49	98	27	20	6800	28400	0.2755
AMSS	4	39	78	35	21	6800	17200	0.4487
ABRW	4	36	83	16	9	6800	26800	0.1928
GLSU	4	65	162	38	32	6800	49600	0.2346
IKLS	4	23	62	10	10	6800	20800	0.1613
EMRT	4	160	320	19	28	6800	120400	0.05937
ACMO	4	53	106	19	19	6800	34800	0.1792
FILO	4	29	58	17	17	6800	16400	0.2931
GLOS	4	67	134	19	37	6800	46000	0.1418
BELO	4	52	104	65	39	6800	15600	0.625
DRU	3	156	312	75	55	6700	23700	0.2404
AHY	3	172	344	69	54	6700	27500	0.2006
EILPPRST	8	1	4	1	0	6600	6600	0.25
DEEORRST	8	6	13	2	1	6600	24200	0.1538
AEGILNRT	8	7	16	2	2	6600	30800	0.125
ABDEINRS	8	5	10	3	1	6600	15400	0.3
ADEEPRST	8	3	7	2	1	6600	11000	0.2857
MOP	3	199	398	132	127	6600	26600	0.3317
PRU	3	101	202	68	52	6600	13400	0.3366
ADEEMRST	8	3	6	3	1	6600	6600	0.5
EGIINRST	8	7	15	8	3	6600	15400	0.5333
EILRSSTT	8	3	6	3	3	6600	6600	0.5
ADEGINRT	8	9	19	5	6	6600	30800	0.2632
ADEERSTT	8	8	17	6	1	6600	24200	0.3529
BDE	3	299	598	109	94	6500	48900	0.1823
IOPS	4	60	120	18	23	6400	40800	0.15
DIMS	4	66	132	46	32	6400	34400	0.3485
DEEGR	5	9	18	10	5	6400	6400	0.5556
AELNT	5	61	122	8	19	6400	91200	0.06557
GHINS	5	10	20	8	8	6400	9600	0.4
AAIMN	5	81	213	5	15	6400	166400	0.02347
AKNT	4	25	50	24	19	6400	10400	0.48
ADEIN	5	94	188	8	21	6400	144000	0.04255
