rank	stem	stemLen	isWord	track	score	value	gainPar	gainAlpha	deadPoints	effort	studyItems	newWords	owned	learning	unknown	familySize	branches	presentShare	presentGames	enumerability	enumerabilityObserved	enumerabilityFindable	enumerabilitySource	cueable	coherence	residual	deadBranches	deadExposure	scoreStandalone	learn	why
317	NST	3	False	par	0.81494	4.1073	1.963	1.5773	2.835	5.04	5	5	9	19	263	241	385	0.16056	460	0.99115	2.0717	2.0717	observed	True	0.3709	2837.1	60	0.32229	0.81494	INSTAR SNOT TONS CANST ONST	NST- is on 16% of your boards; you already own 9 of the 385 words on it (241 of them extend the stem's own path), so the rest cost little; the queue wants INSTAR, SNOT, TONS (3.5 points a game between 5 words); enumerability 2.1 is inside the 2-6 band, so it also works as something to scan for on a board; 60 dead affixes worth 2.8 points a game in avoided misswipes at the current weight.
318	THE	3	True	par	0.81264	13.165	28.975	9.7204	2.3367	16.2	23	13	36	114	928	1096	1470	0.14974	429	9.9561	12.972	12.972	observed	False	0.39549	13434	53	0.28484	2.4175	RATHE OTHER OTHERS THERES THERE HENT TITHE HETE AETHER ITHER EATHE THEIR METH THEN LITHE THEE THETA THENS THEM THEW THEIN LETHE HYTE	THE- is on 15% of your boards; you already own 36 of the 1470 words on it (1096 of them extend the stem's own path), so the rest cost little; the queue wants RATHE, OTHER, OTHERS (38.7 points a game between 23 words); enumerability 13.0 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 53 dead affixes worth 2.3 points a game in avoided misswipes at the current weight.
319	GER	3	True	par	0.81169	5.552	2.8384	2.5715	0.71061	6.84	8	8	67	157	706	894	1316	0.11204	321	7.7451	9.8287	9.8287	observed	False	0.40979	6128.7	54	0.11577	0.81169	EAGER LAGER GERM TIGER ERGS GERT EGER AREG	GER- is on 11% of your boards; you already own 67 of the 1316 words on it (894 of them extend the stem's own path), so the rest cost little; the queue wants EAGER, LAGER, GERM (5.4 points a game between 8 words); enumerability 9.8 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 54 dead affixes worth 0.7 points a game in avoided misswipes at the current weight.
320	TOE	3	True	alpha	0.81032	2.8199	0	2.5518	1.3405	3.48	3	3	5	13	105	83	140	0.18813	539	1.886	2.2041	2.2041	observed	True	0.42847	1226.8	52	0.13006	0.81032	TOEA TOEAS TOEY	TOE- is on 19% of your boards; you already own 5 of the 140 words on it (83 of them extend the stem's own path), so the rest cost little; the queue wants TOEA, TOEAS, TOEY (2.6 points a game between 3 words); enumerability 2.2 is inside the 2-6 band, so it also works as something to scan for on a board; 52 dead affixes worth 1.3 points a game in avoided misswipes at the current weight.
321	PALE	4	True	par	0.80681	1.8395	1.7961	0	0.21694	2.28	1	1	6	15	90	59	127	0.039092	112	3.8932	4.0714	4.4935	calibrated	True	0.55755	2605.6	50	0.10129	0.80681	SPALE	PALE- is on 4% of your boards; you already own 6 of the 127 words on it (59 of them extend the stem's own path), so the rest cost little; the queue wants SPALE (1.8 points a game between 1 word); enumerability 4.5 is inside the 2-6 band, so it also works as something to scan for on a board.
322	ASSE	4	False	par	0.80452	1.8343	1.754	0	0.4013	2.28	1	1	31	52	175	264	452	0.06562	188	6.159	4.2713	7.1085	calibrated	False	0.52511	2728.6	50	0.11163	0.80452	RASSE	ASSE- is on 7% of your boards; you already own 31 of the 452 words on it (264 of them extend the stem's own path), so the rest cost little; the queue wants RASSE (1.8 points a game between 1 word); enumerability 7.1 is above the band: study it, but do not hunt for it, there is too much under the stem to check.
323	SERO	4	False	alpha	0.80052	2.3055	0	2.5546	2.012	2.88	2	1	4	15	58	38	89	0.11483	329	1.0751	1.7112	1.7112	observed	False	0.53814	1984.9	59	0.31981	1.0268	SERON SERONS	SERO- is on 11% of your boards; you already own 4 of the 89 words on it (38 of them extend the stem's own path), so the rest cost little; the queue wants SERON, SERONS (2.6 points a game between 2 words); enumerability 1.7 is below the band, so it is a study item and not a board cue; 59 dead affixes worth 2.0 points a game in avoided misswipes at the current weight.
324	RILS	4	False	alpha	0.79726	1.8178	0	1.6717	0.73022	2.28	1	1	3	6	24	24	45	0.041885	120	0.71277	1.325	0.82266	calibrated	False	0.55542	813.12	59	0.31822	0.79726	ARILS	RILS- is on 4% of your boards; you already own 3 of the 45 words on it (24 of them extend the stem's own path), so the rest cost little; the queue wants ARILS (1.7 points a game between 1 word); enumerability 0.8 is below the band, so it is a study item and not a board cue; 59 dead affixes worth 0.7 points a game in avoided misswipes at the current weight.
325	LEEA	4	False	alpha	0.79125	1.8041	0	1.7253	0.39402	2.28	1	1	4	3	4	2	11	0.023386	67	0.60538	1.3284	0.69871	calibrated	False	0.73333	596.18	58	0.30754	0.79125	LEEAR	LEEA- is on 2% of your boards; you already own 4 of the 11 words on it (2 of them extend the stem's own path), so the rest cost little; the queue wants LEEAR (1.7 points a game between 1 word); enumerability 0.7 is below the band, so it is a study item and not a board cue.
326	HAN	3	True	par	0.7903	4.1728	7.7592	2.2622	1.9217	5.28	6	3	16	50	429	714	837	0.12426	356	7.0549	6.5365	6.5365	observed	False	0.39668	5176.7	54	0.28229	1.9708	HANTS HANT CHANT HANSE THAN THANS	HAN- is on 12% of your boards; you already own 16 of the 837 words on it (714 of them extend the stem's own path), so the rest cost little; the queue wants HANTS, HANT, CHANT (10.0 points a game between 6 words); enumerability 6.5 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 54 dead affixes worth 1.9 points a game in avoided misswipes at the current weight.
327	COR	3	True	par	0.78948	7.2948	15.954	1.8263	0.52381	9.24	12	8	26	65	538	730	969	0.11623	333	7.7874	9.2613	9.2613	observed	False	0.39433	6618.6	47	0.082259	1.9356	SCORE CORED CORER CORN CRON CORIA CORAL CORNI ACORN CORY CORNS CERO	COR- is on 12% of your boards; you already own 26 of the 969 words on it (730 of them extend the stem's own path), so the rest cost little; the queue wants SCORE, CORED, CORER (17.8 points a game between 12 words); enumerability 9.3 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 47 dead affixes worth 0.5 points a game in avoided misswipes at the current weight.
328	REEN	4	True	par	0.78397	2.7282	10.124	0	0.55883	3.48	3	2	2	14	112	150	251	0.073647	211	2.4343	2.3981	2.3981	observed	True	0.50403	2055.8	56	0.1385	2.9413	REENS GREEN PREEN	REEN- is on 7% of your boards; you already own 2 of the 251 words on it (150 of them extend the stem's own path), so the rest cost little; the queue wants REENS, GREEN, PREEN (10.1 points a game between 3 words); enumerability 2.4 is inside the 2-6 band, so it also works as something to scan for on a board; 56 dead affixes worth 0.6 points a game in avoided misswipes at the current weight.
329	BRIN	4	True	par	0.78335	1.786	1.7627	0	0.11694	2.28	1	1	4	10	47	66	88	0.023037	66	3.327	3.7879	3.84	calibrated	True	0.5607	2397.4	48	0.09266	0.78335	BRINE	BRIN- is on 2% of your boards; you already own 4 of the 88 words on it (66 of them extend the stem's own path), so the rest cost little; the queue wants BRINE (1.8 points a game between 1 word); enumerability 3.8 is inside the 2-6 band, so it also works as something to scan for on a board.
330	PEST	4	True	alpha	0.78211	1.7832	0	1.7126	0.35294	2.28	1	1	6	10	77	62	124	0.048517	139	1.622	1.9928	1.872	calibrated	False	0.52706	1026	53	0.13278	0.78211	PESTO	PEST- is on 5% of your boards; you already own 6 of the 124 words on it (62 of them extend the stem's own path), so the rest cost little; the queue wants PESTO (1.7 points a game between 1 word); enumerability 1.9 is below the band, so it is a study item and not a board cue.
331	SALTI	5	False	par	0.78206	1.7831	1.7103	0	0.36401	2.28	1	1	3	14	32	18	53	0.023037	66	1.6709	2.7576	1.5436	calibrated	False	0.65586	2239.3	54	0.28842	0.78206	SALTIE	SALTI- is on 2% of your boards; you already own 3 of the 53 words on it (18 of them extend the stem's own path), so the rest cost little; the queue wants SALTIE (1.7 points a game between 1 word); enumerability 1.5 is below the band, so it is a study item and not a board cue.
332	LON	3	False	par	0.7785	4.3907	2.6064	1.4135	1.8538	5.64	6	6	6	39	366	484	608	0.11449	328	4.6381	5.622	5.622	observed	True	0.40536	4928.7	54	0.29556	0.7785	ALONE LONG HALON CLON LENO NOEL	LON- is on 11% of your boards; you already own 6 of the 608 words on it (484 of them extend the stem's own path), so the rest cost little; the queue wants ALONE, LONG, HALON (4.0 points a game between 6 words); enumerability 5.6 is inside the 2-6 band, so it also works as something to scan for on a board; 54 dead affixes worth 1.9 points a game in avoided misswipes at the current weight.
333	COS	3	True	par	0.77685	4.8475	2.4074	2.3258	0.57174	6.24	7	7	18	46	301	322	499	0.1082	310	6.1753	7.5452	7.5452	observed	False	0.42178	3709.9	44	0.096447	0.77685	COSH COSTAE SCOT ARCOS SECO ECOS COSES	COS- is on 11% of your boards; you already own 18 of the 499 words on it (322 of them extend the stem's own path), so the rest cost little; the queue wants COSH, COSTAE, SCOT (4.7 points a game between 7 words); enumerability 7.5 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 44 dead affixes worth 0.6 points a game in avoided misswipes at the current weight.
334	IRS	3	False	alpha	0.77608	8.987	5.1892	7.1403	3.4892	11.58	15	12	13	51	283	219	417	0.21326	611	2.6766	4.5957	4.5957	observed	True	0.43825	3009.8	54	0.29864	1.125	AMIRS MAIRS DEAIRS GAIRS HEIRS ARIS RISP FIRST SIRS RIFS LOIRS FIRS WEIRS FRIS SRIS	IRS- is on 21% of your boards; you already own 13 of the 417 words on it (219 of them extend the stem's own path), so the rest cost little; the queue wants AMIRS, MAIRS, DEAIRS (12.3 points a game between 15 words); enumerability 4.6 is inside the 2-6 band, so it also works as something to scan for on a board; 54 dead affixes worth 3.5 points a game in avoided misswipes at the current weight.
335	REN	3	True	par	0.77309	16.188	33.916	21.36	2.3526	20.94	30	19	27	84	606	603	1000	0.35428	1015	6.9154	7.0631	7.0631	observed	False	0.40057	4947.1	48	0.12121	2.6622	RENTE SIREN RENTES RENDS ONER RONE ERNS SIRENS RENNE TRENDS RENINS TERN NERD TREND PARENS GREN RENAIL PARENT ARENES KERN WRENS URENA RENEST ARENE PAREN GRENS NERK DRENT RENIN CRENA	REN- is on 35% of your boards; you already own 27 of the 1000 words on it (603 of them extend the stem's own path), so the rest cost little; the queue wants RENTE, SIREN, RENTES (55.3 points a game between 30 words); enumerability 7.1 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 48 dead affixes worth 2.4 points a game in avoided misswipes at the current weight.
336	KIT	3	True	par	0.77252	3.2909	3.2637	0	0.13584	4.26	4	4	2	19	99	137	174	0.02897	83	3.5063	5.3373	6.3688	calibrated	False	0.43222	2039.6	49	0.085589	0.77252	KITE KITES TIKS SKIT	KIT- is on 3% of your boards; you already own 2 of the 174 words on it (137 of them extend the stem's own path), so the rest cost little; the queue wants KITE, KITES, TIKS (3.3 points a game between 4 words); enumerability 6.4 is above the band: study it, but do not hunt for it, there is too much under the stem to check.
337	STON	4	False	par	0.77232	2.6877	2.4183	1.1772	1.347	3.48	3	2	18	27	207	204	322	0.095637	274	4.3671	4.9489	4.9489	observed	True	0.49836	3583.9	46	0.25708	1.1106	ASTONE TESTON STONN	STON- is on 10% of your boards; you already own 18 of the 322 words on it (204 of them extend the stem's own path), so the rest cost little; the queue wants ASTONE, TESTON, STONN (3.6 points a game between 3 words); enumerability 4.9 is inside the 2-6 band, so it also works as something to scan for on a board; 46 dead affixes worth 1.3 points a game in avoided misswipes at the current weight.
338	OLT	3	False	par	0.76668	5.9801	6.3589	0	1.4999	7.8	9	8	5	17	104	158	200	0.089354	256	2.6333	3.5391	3.5391	observed	True	0.43832	1926.2	54	0.3064	0.8537	TOLT MOLT BOLT TOLD LOTH COLT HOLT BLOT CLOT	OLT- is on 9% of your boards; you already own 5 of the 200 words on it (158 of them extend the stem's own path), so the rest cost little; the queue wants TOLT, MOLT, BOLT (6.4 points a game between 9 words); enumerability 3.5 is inside the 2-6 band, so it also works as something to scan for on a board; 54 dead affixes worth 1.5 points a game in avoided misswipes at the current weight.
339	DELT	4	True	par	0.76338	2.6566	2.4268	0.15763	0.36082	3.48	3	3	3	2	14	8	19	0.044677	128	1.1816	1.7578	1.3638	calibrated	False	0.62758	1132.1	58	0.14741	0.76338	DELTS DELTA DELTAS	DELT- is on 4% of your boards; you already own 3 of the 19 words on it (8 of them extend the stem's own path), so the rest cost little; the queue wants DELTS, DELTA, DELTAS (2.6 points a game between 3 words); enumerability 1.4 is below the band, so it is a study item and not a board cue.
340	RECT	4	False	alpha	0.76198	3.1089	0	2.9036	1.0265	4.08	4	4	8	6	110	95	171	0.05829	167	2.5138	3.0898	2.9013	calibrated	True	0.51664	2415.1	58	0.32144	0.76198	ERECT RECTO RECTA RECTI	RECT- is on 6% of your boards; you already own 8 of the 171 words on it (95 of them extend the stem's own path), so the rest cost little; the queue wants ERECT, RECTO, RECTA (2.9 points a game between 4 words); enumerability 2.9 is inside the 2-6 band, so it also works as something to scan for on a board; 58 dead affixes worth 1.0 points a game in avoided misswipes at the current weight.
341	ATHS	4	False	par	0.76195	2.1944	1.9818	0	1.0632	2.88	2	2	2	7	54	53	82	0.063525	182	2.306	3.0055	2.6615	calibrated	True	0.56445	2236	52	0.30549	0.76195	OATHS RATHS	ATHS- is on 6% of your boards; you already own 2 of the 82 words on it (53 of them extend the stem's own path), so the rest cost little; the queue wants OATHS, RATHS (2.0 points a game between 2 words); enumerability 2.7 is inside the 2-6 band, so it also works as something to scan for on a board; 52 dead affixes worth 1.1 points a game in avoided misswipes at the current weight.
342	STEN	4	True	par	0.75886	4.0068	8.8053	1.2705	1.112	5.28	6	4	10	34	143	114	218	0.15777	452	2.0167	2.615	2.615	observed	True	0.51185	2049.6	55	0.12865	1.9504	LISTEN HASTEN OSTENT STEND STENT STENS	STEN- is on 16% of your boards; you already own 10 of the 218 words on it (114 of them extend the stem's own path), so the rest cost little; the queue wants LISTEN, HASTEN, OSTENT (10.1 points a game between 6 words); enumerability 2.6 is inside the 2-6 band, so it also works as something to scan for on a board; 55 dead affixes worth 1.1 points a game in avoided misswipes at the current weight.
343	FIS	3	False	par	0.75882	2.6407	2.4612	0	0.89731	3.48	3	3	3	14	129	345	384	0.053403	153	1.6736	2.9085	3.0399	calibrated	True	0.38468	868.23	55	0.3067	0.75882	FISH REFIS FIST	FIS- is on 5% of your boards; you already own 3 of the 384 words on it (345 of them extend the stem's own path), so the rest cost little; the queue wants FISH, REFIS, FIST (2.5 points a game between 3 words); enumerability 3.0 is inside the 2-6 band, so it also works as something to scan for on a board; 55 dead affixes worth 0.9 points a game in avoided misswipes at the current weight.
344	HIDE	4	True	par	0.75544	2.1757	3.279	0	0.26752	2.88	2	1	2	10	34	43	60	0.041187	118	1.7679	2.4831	2.0405	calibrated	True	0.54378	418.53	54	0.11856	1.1571	HIDES HIDER	HIDE- is on 4% of your boards; you already own 2 of the 60 words on it (43 of them extend the stem's own path), so the rest cost little; the queue wants HIDES, HIDER (3.3 points a game between 2 words); enumerability 2.0 is inside the 2-6 band, so it also works as something to scan for on a board.
345	TET	3	True	par	0.75488	4.1216	6.8472	1.7882	0.66727	5.46	6	5	9	14	116	155	220	0.1096	314	3.0594	4.8089	4.8089	observed	True	0.40966	3803	56	0.11113	1.606	TETES TETE TEST TETRA TETRAS TETRI	TET- is on 11% of your boards; you already own 9 of the 220 words on it (155 of them extend the stem's own path), so the rest cost little; the queue wants TETES, TETE, TEST (8.6 points a game between 6 words); enumerability 4.8 is inside the 2-6 band, so it also works as something to scan for on a board; 56 dead affixes worth 0.7 points a game in avoided misswipes at the current weight.
346	SITE	4	True	par	0.75143	1.7133	1.5261	0	0.93575	2.28	1	1	6	18	109	92	172	0.13089	375	1.2885	1.992	1.992	observed	False	0.50195	1044.2	56	0.13049	0.75143	SITES	SITE- is on 13% of your boards; you already own 6 of the 172 words on it (92 of them extend the stem's own path), so the rest cost little; the queue wants SITES (1.5 points a game between 1 word); enumerability 2.0 is below the band, so it is a study item and not a board cue; 56 dead affixes worth 0.9 points a game in avoided misswipes at the current weight.
347	REAL	4	True	alpha	0.74891	2.6062	0	2.4451	0.80577	3.48	3	3	21	35	135	96	210	0.12007	344	3.0344	3.032	3.032	observed	True	0.53307	2256.3	52	0.12249	0.74891	REALM AREAL UREAL	REAL- is on 12% of your boards; you already own 21 of the 210 words on it (96 of them extend the stem's own path), so the rest cost little; the queue wants REALM, AREAL, UREAL (2.4 points a game between 3 words); enumerability 3.0 is inside the 2-6 band, so it also works as something to scan for on a board; 52 dead affixes worth 0.8 points a game in avoided misswipes at the current weight.
348	USE	3	True	par	0.74694	6.588	4.675	2.0901	0.8207	8.82	11	10	32	80	627	895	1210	0.13647	391	7.2326	7.8235	7.8235	observed	False	0.3982	6197.7	45	0.10976	0.78563	USERS USES USER SUER RUSES TOUSE OUSEL MUSER REUSE UMES EMUS	USE- is on 14% of your boards; you already own 32 of the 1210 words on it (895 of them extend the stem's own path), so the rest cost little; the queue wants USERS, USES, USER (6.8 points a game between 11 words); enumerability 7.8 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 45 dead affixes worth 0.8 points a game in avoided misswipes at the current weight.
349	AGED	4	True	par	0.73653	1.6793	1.5872	0	0.4604	2.28	1	1	3	7	70	103	133	0.027225	78	1.7906	2.4359	2.0667	calibrated	True	0.52404	1261.5	47	0.30867	0.73653	RAGED	AGED- is on 3% of your boards; you already own 3 of the 133 words on it (103 of them extend the stem's own path), so the rest cost little; the queue wants RAGED (1.6 points a game between 1 word); enumerability 2.1 is inside the 2-6 band, so it also works as something to scan for on a board.
350	REAN	4	True	par	0.73068	1.666	1.5398	0	0.63066	2.28	1	1	4	6	39	38	66	0.077836	223	0.61796	1.1614	1.1614	observed	False	0.49098	531.72	59	0.14789	0.73068	REANS	REAN- is on 8% of your boards; you already own 4 of the 66 words on it (38 of them extend the stem's own path), so the rest cost little; the queue wants REANS (1.5 points a game between 1 word); enumerability 1.2 is below the band, so it is a study item and not a board cue; 59 dead affixes worth 0.6 points a game in avoided misswipes at the current weight.
351	TIS	3	True	alpha	0.73006	4.1176	1.5659	1.662	4.4485	5.64	6	6	10	50	709	741	1122	0.25305	725	2.9003	4.0179	4.0179	observed	True	0.37956	4851.5	59	0.32087	0.73006	SUIT SATIS YETIS TUIS MOTIS TITIS	TIS- is on 25% of your boards; you already own 10 of the 1122 words on it (741 of them extend the stem's own path), so the rest cost little; the queue wants SUIT, SATIS, YETIS (3.2 points a game between 6 words); enumerability 4.0 is inside the 2-6 band, so it also works as something to scan for on a board; 59 dead affixes worth 4.4 points a game in avoided misswipes at the current weight.
352	ENSA	4	False	alpha	0.72642	1.6562	0	1.408	1.241	2.28	1	1	6	5	38	20	57	0.073997	212	1.0273	1.6415	1.6415	observed	False	0.5419	1669.9	58	0.30612	0.72642	MENSA	ENSA- is on 7% of your boards; you already own 6 of the 57 words on it (20 of them extend the stem's own path), so the rest cost little; the queue wants MENSA (1.4 points a game between 1 word); enumerability 1.6 is below the band, so it is a study item and not a board cue; 58 dead affixes worth 1.2 points a game in avoided misswipes at the current weight.
353	TAPE	4	True	alpha	0.72446	2.0864	0	2.0363	0.25079	2.88	2	2	16	18	75	63	125	0.04363	125	4.0424	4.192	4.6656	calibrated	True	0.54923	3040.5	47	0.10492	0.72446	ETAPE TAPEN	TAPE- is on 4% of your boards; you already own 16 of the 125 words on it (63 of them extend the stem's own path), so the rest cost little; the queue wants ETAPE, TAPEN (2.0 points a game between 2 words); enumerability 4.7 is inside the 2-6 band, so it also works as something to scan for on a board.
354	WSE	3	False	par	0.72297	2.5159	1.5763	0.79541	0.72106	3.48	3	3	5	33	83	65	131	0.040838	117	1.4374	3.5385	2.6109	calibrated	True	0.47842	1128.4	60	0.32229	0.72297	TOWSE TAWSE OWSE	WSE- is on 4% of your boards; you already own 5 of the 131 words on it (65 of them extend the stem's own path), so the rest cost little; the queue wants TOWSE, TAWSE, OWSE (2.4 points a game between 3 words); enumerability 2.6 is inside the 2-6 band, so it also works as something to scan for on a board; 60 dead affixes worth 0.7 points a game in avoided misswipes at the current weight.
355	SUP	3	True	par	0.72192	1.646	1.6188	0	0.13592	2.28	1	1	5	6	111	219	282	0.02164	62	2.1002	2.7903	3.8148	calibrated	True	0.3693	1631.8	54	0.11465	0.72192	SUPE	SUP- is on 2% of your boards; you already own 5 of the 282 words on it (219 of them extend the stem's own path), so the rest cost little; the queue wants SUPE (1.6 points a game between 1 word); enumerability 3.8 is inside the 2-6 band, so it also works as something to scan for on a board.
356	NEO	3	False	par	0.72167	4.4022	3.0642	1.0848	1.2659	6.1	3	3	0	3	95	98	143	0.072251	207	0.77585	1.942	1.942	observed	False	0.37771	2008.7	59	0.31981	0.72167	NONE NEONS NEON	NEO- is on 7% of your boards; you own none of the 143 words on it yet; the queue wants NONE, NEONS, NEON (4.1 points a game between 3 words); enumerability 1.9 is below the band, so it is a study item and not a board cue; 59 dead affixes worth 1.3 points a game in avoided misswipes at the current weight.
357	SHA	3	True	par	0.71408	8.9546	20.592	0.16015	2.0745	12.54	16	13	28	119	489	702	984	0.12635	362	5.8989	6.5442	6.5442	observed	False	0.4082	3813.1	54	0.29969	1.688	SHARES SHALE SHADE SHARD HASH SHAM GASH MASH SHAY DASH WASH SHAD HAWS SHAW HAST SHAH	SHA- is on 13% of your boards; you already own 28 of the 984 words on it (702 of them extend the stem's own path), so the rest cost little; the queue wants SHARES, SHALE, SHADE (20.8 points a game between 16 words); enumerability 6.5 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 54 dead affixes worth 2.1 points a game in avoided misswipes at the current weight.
358	OSED	4	False	par	0.71192	2.4775	4.6853	0	1.5265	3.48	3	2	12	26	56	76	131	0.091449	262	2.3763	3.1565	3.1565	observed	True	0.54054	335.34	54	0.30468	1.4341	LOSED MOSED DOSED	OSED- is on 9% of your boards; you already own 12 of the 131 words on it (76 of them extend the stem's own path), so the rest cost little; the queue wants LOSED, MOSED, DOSED (4.7 points a game between 3 words); enumerability 3.2 is inside the 2-6 band, so it also works as something to scan for on a board; 54 dead affixes worth 1.5 points a game in avoided misswipes at the current weight.
359	MAR	3	True	par	0.71186	8.2434	12.79	1.6549	0.66175	11.58	15	13	22	64	532	738	1029	0.11937	342	9.5016	8.9561	8.9561	observed	False	0.40211	6832.7	48	0.10119	1.2588	SMART MART MARTS MARON MARAS GRAM MARA RAMS TRAM MARID MARL MARG MAAR DRAM MARC	MAR- is on 12% of your boards; you already own 22 of the 1029 words on it (738 of them extend the stem's own path), so the rest cost little; the queue wants SMART, MART, MARTS (14.4 points a game between 15 words); enumerability 9.0 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 48 dead affixes worth 0.7 points a game in avoided misswipes at the current weight.
360	ABS	3	True	par	0.70998	4.9414	3.7851	0.99726	0.79555	6.96	7	7	3	26	116	169	233	0.049564	142	3.5716	4.0704	6.4875	calibrated	False	0.43395	1544.9	53	0.29298	0.70998	STAB SNAB BALS TABS BATS BASS BANS	ABS- is on 5% of your boards; you already own 3 of the 233 words on it (169 of them extend the stem's own path), so the rest cost little; the queue wants STAB, SNAB, BALS (4.8 points a game between 7 words); enumerability 6.5 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 53 dead affixes worth 0.8 points a game in avoided misswipes at the current weight.
361	POR	3	False	par	0.70691	4.8353	8.0883	0	0.99693	6.84	8	6	21	46	402	499	715	0.069808	200	6.4879	8.1	8.1	observed	False	0.39002	5982.8	45	0.26067	1.2117	PORTS PORT ROPE SPORT TROP PORTA PORED PORIN	POR- is on 7% of your boards; you already own 21 of the 715 words on it (499 of them extend the stem's own path), so the rest cost little; the queue wants PORTS, PORT, ROPE (8.1 points a game between 8 words); enumerability 8.1 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 45 dead affixes worth 1.0 points a game in avoided misswipes at the current weight.
362	RANT	4	True	alpha	0.70004	3.6962	2.2307	4.26	0.64244	5.28	6	4	5	16	185	196	289	0.10471	300	4.0576	3.85	3.85	observed	True	0.51615	3259	50	0.11199	1.2537	ORANTS ORANT GRANT RANTED TRANTS TRANT	RANT- is on 10% of your boards; you already own 5 of the 289 words on it (196 of them extend the stem's own path), so the rest cost little; the queue wants ORANTS, ORANT, GRANT (6.5 points a game between 6 words); enumerability 3.9 is inside the 2-6 band, so it also works as something to scan for on a board; 50 dead affixes worth 0.6 points a game in avoided misswipes at the current weight.
363	RAY	3	True	par	0.7	3.402	1.8384	1.4807	0.41452	4.86	5	5	5	27	243	286	404	0.06562	188	5.4767	6.0266	9.9479	calibrated	False	0.43396	3645.3	45	0.1153	0.7	STRAY DRAY YARD RAYS TRAY	RAY- is on 7% of your boards; you already own 5 of the 404 words on it (286 of them extend the stem's own path), so the rest cost little; the queue wants STRAY, DRAY, YARD (3.3 points a game between 5 words); enumerability 9.9 is above the band: study it, but do not hunt for it, there is too much under the stem to check.
364	RESA	4	False	alpha	0.69911	2.4329	0	1.9058	2.6357	3.48	3	3	24	27	93	56	158	0.15428	442	1.1785	1.8032	1.8032	observed	False	0.53518	1510.8	57	0.31184	0.69911	RESAY RESAW PRESA	RESA- is on 15% of your boards; you already own 24 of the 158 words on it (56 of them extend the stem's own path), so the rest cost little; the queue wants RESAY, RESAW, PRESA (1.9 points a game between 3 words); enumerability 1.8 is below the band, so it is a study item and not a board cue; 57 dead affixes worth 2.6 points a game in avoided misswipes at the current weight.
365	ROO	3	True	par	0.6971	3.5134	5.1194	0.26372	0.5749	5.04	5	4	24	77	367	648	807	0.085515	245	5.3571	8.551	8.551	observed	False	0.40308	4514.2	52	0.12271	1.0909	ROOSE POOR ROOST ODOR PROO	ROO- is on 9% of your boards; you already own 24 of the 807 words on it (648 of them extend the stem's own path), so the rest cost little; the queue wants ROOSE, POOR, ROOST (5.4 points a game between 5 words); enumerability 8.6 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 52 dead affixes worth 0.6 points a game in avoided misswipes at the current weight.
366	PLE	3	False	par	0.69603	2.9651	4.0075	0	1.0342	4.26	4	3	19	66	534	729	1016	0.060733	174	5.0807	6.5575	9.2285	calibrated	False	0.39705	4564.7	58	0.31081	0.98927	PLEAT PLEAS LEAP PLEA	PLE- is on 6% of your boards; you already own 19 of the 1016 words on it (729 of them extend the stem's own path), so the rest cost little; the queue wants PLEAT, PLEAS, LEAP (4.0 points a game between 4 words); enumerability 9.2 is above the band: study it, but do not hunt for it, there is too much under the stem to check; 58 dead affixes worth 1.0 points a game in avoided misswipes at the current weight.
367	RILE	4	True	par	0.69601	2.0045	1.4243	0.47469	0.52749	2.88	2	2	3	5	34	30	54	0.071553	205	1.0173	1.7463	1.7463	observed	False	0.53503	955.78	57	0.13456	0.69601	RILES ARILED	RILE- is on 7% of your boards; you already own 3 of the 54 words on it (30 of them extend the stem's own path), so the rest cost little; the queue wants RILES, ARILED (1.9 points a game between 2 words); enumerability 1.7 is below the band, so it is a study item and not a board cue; 57 dead affixes worth 0.5 points a game in avoided misswipes at the current weight.
368	LIG	3	True	alpha	0.69597	1.5868	0	1.5158	0.35493	2.28	1	1	9	30	242	323	427	0.047469	136	2.3754	3.8382	4.3147	calibrated	True	0.3799	2029.1	57	0.13648	0.69597	ALIGN	LIG- is on 5% of your boards; you already own 9 of the 427 words on it (323 of them extend the stem's own path), so the rest cost little; the queue wants ALIGN (1.5 points a game between 1 word); enumerability 4.3 is inside the 2-6 band, so it also works as something to scan for on a board.
369	ANO	3	False	alpha	0.69251	3.0747	0.91083	1.5487	3.0762	4.44	4	4	2	19	377	412	569	0.17696	507	3.5733	3.712	3.712	observed	True	0.39656	3841.6	56	0.31729	0.69251	ANODE MOAN NONA FANO	ANO- is on 18% of your boards; you already own 2 of the 569 words on it (412 of them extend the stem's own path), so the rest cost little; the queue wants ANODE, MOAN, NONA (2.5 points a game between 4 words); enumerability 3.7 is inside the 2-6 band, so it also works as something to scan for on a board; 56 dead affixes worth 3.1 points a game in avoided misswipes at the current weight.
